od_id,src_lat,src_lng,dst_lat,dst_lng,src_anchor,dst_anchor,scenario,status,error,distance_km,duration_min,overhead_pct,calc_time_sec,danger_zones_crossed,danger_exposure_m,entered_danger_zone,warning_zones_crossed,warning_exposure_m,entered_warning_zone
44,40.695356,-73.995942,40.744566,-74.004726,Brooklyn Heights Prom.,Chelsea Market,airbnb,ok,,6.81,81.7,0.0,4.071,2,747.1,True,0,0.0,False
45,40.746336,-73.983817,40.770125,-73.984968,Empire State Building,Lincoln Center,baseline,ok,,3.15,37.8,0.0,0.486,3,1911.3,True,3,216.1,True
45,40.746336,-73.983817,40.770125,-73.984968,Empire State Building,Lincoln Center,nypd,ok,,3.52,42.3,11.75,1.28,1,98.1,True,0,0.0,False
45,40.746336,-73.983817,40.770125,-73.984968,Empire State Building,Lincoln Center,airbnb,ok,,3.4,40.8,7.94,3.007,3,833.4,True,0,0.0,False
46,40.674769,-73.96965,40.73389,-73.992252,Prospect Park (GAP),Union Square,baseline,ok,,7.47,89.7,0.0,0.567,1,382.6,True,3,242.5,True
46,40.674769,-73.96965,40.73389,-73.992252,Prospect Park (GAP),Union Square,nypd,error,no route found,,,,2.14,,,,,,
46,40.674769,-73.96965,40.73389,-73.992252,Prospect Park (GAP),Union Square,airbnb,ok,,8.35,100.2,11.78,5.65,2,695.0,True,0,0.0,False
47,40.718842,-73.998875,40.722253,-74.001939,Little Italy,SoHo,baseline,ok,,0.56,6.7,0.0,0.514,1,160.0,True,0,0.0,False
47,40.718842,-73.998875,40.722253,-74.001939,Little Italy,SoHo,nypd,ok,,0.56,6.7,0.0,1.046,1,160.0,True,0,0.0,False
47,40.718842,-73.998875,40.722253,-74.001939,Little Italy,SoHo,airbnb,ok,,0.56,6.7,0.0,1.807,1,160.0,True,0,0.0,False
48,40.771902,-73.981712,40.755704,-73.981838,Lincoln Center,Bryant Park,baseline,ok,,2.16,26.0,0.0,0.536,1,835.9,True,1,77.4,True
48,40.771902,-73.981712,40.755704,-73.981838,Lincoln Center,Bryant Park,nypd,ok,,2.63,31.6,21.76,1.274,0,0.0,False,0,0.0,False
48,40.771902,-73.981712,40.755704,-73.981838,Lincoln Center,Bryant Park,airbnb,ok,,2.18,26.1,0.93,2.383,1,746.2,True,0,0.0,False
49,40.7088,-73.996987,40.736068,-73.99016,Brooklyn Bridge (Mnh),Union Square,baseline,ok,,3.32,39.9,0.0,0.58,2,738.6,True,3,205.1,True
49,40.7088,-73.996987,40.736068,-73.99016,Brooklyn Bridge (Mnh),Union Square,nypd,error,no route found,,,,1.359,,,,,,
49,40.7088,-73.996987,40.736068,-73.99016,Brooklyn Bridge (Mnh),Union Square,airbnb,ok,,3.54,42.5,6.63,3.388,1,356.0,True,0,0.0,False
50,40.725213,-74.005345,40.756971,-73.976254,SoHo,Rockefeller Center,baseline,ok,,4.59,55.0,0.0,0.547,4,1462.8,True,0,0.0,False
50,40.725213,-74.005345,40.756971,-73.976254,SoHo,Rockefeller Center,nypd,ok,,5.48,65.7,19.39,1.835,0,0.0,False,0,0.0,False
50,40.725213,-74.005345,40.756971,-73.976254,SoHo,Rockefeller Center,airbnb,ok,,4.59,55.0,0.0,3.921,4,1462.8,True,0,0.0,False
51,40.74159,-74.009219,40.708207,-73.997123,Chelsea Market,Brooklyn Bridge (Mnh),baseline,ok,,4.42,53.0,0.0,0.584,2,264.3,True,4,110.5,True
51,40.74159,-74.009219,40.708207,-73.997123,Chelsea Market,Brooklyn Bridge (Mnh),nypd,ok,,4.44,53.3,0.45,1.555,0,0.0,False,1,16.1,True
51,40.74159,-74.009219,40.708207,-73.997123,Chelsea Market,Brooklyn Bridge (Mnh),airbnb,ok,,4.46,53.5,0.9,3.733,0,0.0,False,0,0.0,False
52,40.753698,-73.983488,40.695234,-73.997569,Bryant Park,Brooklyn Heights Prom.,baseline,ok,,9.78,71.1,0.0,0.518,0,0.0,False,0,0.0,False
52,40.753698,-73.983488,40.695234,-73.997569,Bryant Park,Brooklyn Heights Prom.,nypd,ok,,9.78,71.1,0.0,1.697,0,0.0,False,0,0.0,False
52,40.753698,-73.983488,40.695234,-73.997569,Bryant Park,Brooklyn Heights Prom.,airbnb,ok,,9.78,71.1,0.0,4.101,0,0.0,False,0,0.0,False
53,40.759418,-73.977945,40.723019,-74.000374,Rockefeller Center,SoHo,baseline,ok,,4.75,57.0,0.0,0.516,5,1488.5,True,0,0.0,False
53,40.759418,-73.977945,40.723019,-74.000374,Rockefeller Center,SoHo,nypd,ok,,6.23,74.8,31.16,2.008,1,386.2,True,0,0.0,False
53,40.759418,-73.977945,40.723019,-74.000374,Rockefeller Center,SoHo,airbnb,ok,,4.75,57.0,0.0,3.816,5,1488.5,True,0,0.0,False
54,40.736558,-73.988206,40.739811,-74.00517,Union Square,High Line (Whitney),baseline,ok,,1.76,21.2,0.0,0.507,1,594.1,True,0,0.0,False
54,40.736558,-73.988206,40.739811,-74.00517,Union Square,High Line (Whitney),nypd,ok,,1.76,21.2,0.0,1.066,1,594.1,True,0,0.0,False
54,40.736558,-73.988206,40.739811,-74.00517,Union Square,High Line (Whitney),airbnb,ok,,1.76,21.2,0.0,2.197,1,594.1,True,0,0.0,False
55,40.70476,-73.993092,40.722572,-74.0025,DUMBO,SoHo,baseline,ok,,3.98,47.7,0.0,0.477,2,432.0,True,1,84.7,True
55,40.70476,-73.993092,40.722572,-74.0025,DUMBO,SoHo,nypd,ok,,3.98,47.8,0.0,1.237,1,218.0,True,2,54.4,True
55,40.70476,-73.993092,40.722572,-74.0025,DUMBO,SoHo,airbnb,ok,,3.98,47.8,0.0,2.807,2,291.9,True,0,0.0,False
56,40.723321,-74.00321,40.765838,-73.97476,SoHo,Central Park South,baseline,ok,,5.82,69.8,0.0,0.591,5,904.7,True,2,137.4,True
