latitude,longitude
40.6456,-74.08069
40.576569,-73.985207
40.68038,-73.92221
40.69178,-73.8385
40.82983,-73.94806
40.8011,-73.95613
40.68552,-73.93507
40.68301,-73.95607
40.64796,-73.95497
40.61481,-73.9906
40.82975,-73.94695
40.79807,-73.93765
40.81149,-73.92376
40.68501,-73.97273
40.68909,-73.87055
40.70792,-73.95422
40.80771,-73.9388
40.68653,-73.91388
40.75672,-73.99691
40.66712,-73.88691
40.86347,-73.84128
40.6988,-73.9377
40.75675,-73.99698
40.66699,-73.88915
40.66575,-73.88905
40.7983,-73.96204
40.75995,-73.80599
40.75682,-74.00147
40.66201046332608,-73.7707464881626
40.75473,-73.9967
40.65194,-73.95788
40.81911,-73.94596
40.66095,-73.95916
40.69096,-73.91987
40.83308,-73.94103
40.71776261937139,-73.98352808786075
40.80656,-73.928
40.693348,-73.824554
40.68452,-73.99093
40.80147552490234,-73.95636749267578
40.6825,-73.95038
40.8309,-73.94372
40.69415,-73.92415
40.81611,-73.92491
40.6989,-73.93892
40.67665,-73.95078
40.80852,-73.95488
40.749866,-73.997162
40.81204,-73.94234
40.5911,-73.79805
40.75899,-73.99259
40.6856,-73.93063
40.72001,-73.99252
40.69204,-73.86595
40.8046,-73.94971
40.66252,-73.93269
40.81997,-73.94058
40.86069,-73.90523
40.82948,-73.9374
40.80981,-73.93954
40.80971,-73.93829
40.67561,-73.89078
40.72472,-73.98755
40.6834,-73.90902
40.64272,-73.94819
40.68088,-73.93003
40.84451,-73.93417
40.80193,-73.95677
40.69912,-73.78687
40.66177,-73.94156
40.76534,-73.91944
40.80658,-73.94933
40.71389,-73.94192
40.68257,-73.90758
40.86926,-73.92221
40.65534,-73.91732
40.69855,-73.7845
40.66451,-73.91682
40.65588,-73.91522
40.68776,-73.87038
40.66563,-73.88892
40.69575,-73.9743
40.63862,-73.9116
40.67935,-73.94992
40.639664,-74.088959
40.72663,-73.98299
40.69816,-73.94067
40.69968,-73.94059
40.67129,-73.92768
40.79209,-73.9463
40.8087,-73.91909
40.68983,-73.91464
40.75976,-73.92899
40.81533,-73.93524
40.74629,-73.98688
40.71221,-73.92014
40.74818,-73.98726
40.59386,-73.78876
40.7464,-73.98701
40.59788,-73.79966
40.84772,-73.90845
40.74113,-73.99885
40.81563,-73.94315
40.74811,-73.98664
40.86795,-73.89203
40.660553,-73.899261
40.76018,-73.99078
40.65249,-73.9439
40.68487,-73.93477
40.82648,-73.91541
40.84815,-73.90448
40.68556,-73.93645
40.69897,-73.92241
40.84625,-73.90436
40.68744,-73.93659
40.74385,-73.87613
40.71389,-73.93677
40.68501,-73.93801
40.64564,-74.01245
40.85651,-73.90443
40.69184,-73.95787
40.64402,-73.99751
40.74257,-73.88363
40.75646,-73.8706
40.69523,-73.93519
40.74721,-73.98795
40.67888,-73.89025
40.79398,-73.93574
40.67563,-73.87809
40.70154,-73.89604
40.75892,-73.96104
40.75255,-73.93463
40.69299,-73.9482
40.69146,-73.94873
40.75257,-73.99302
40.68914,-73.90994
40.73069,-73.91994
40.6602,-73.89424
40.64601,-73.90387
40.84789,-73.90886
40.82202,-73.95647
40.73798,-73.863693
40.74813,-73.9872
40.78576,-73.94448
40.69644,-73.92897
40.69775,-73.93055
40.67285,-73.91909
40.82343,-73.93897
40.75106,-73.89411
40.63698,-74.026
40.79581,-73.9373
40.6895,-73.93589
40.81541,-73.93674
40.84242,-73.93789
40.67726,-74.0091
40.68327,-73.93163
40.72296,-73.99084
40.79619,-73.93765
40.64665,-73.95015
40.80964,-73.92174
40.79346,-73.9344
40.82372,-73.92623
40.67559,-73.89027
40.64396,-73.99293
40.76089,-73.92046
40.75791,-73.8601
40.69171,-73.9587
40.682,-73.90746
40.73538,-73.87935
40.65245,-73.94206
40.68169,-73.94342
40.69735,-73.93714
40.80983,-73.92184
40.82124,-73.92913
40.84592,-73.89141
40.82556,-73.94838
40.67878,-73.91265
40.80836,-73.91417
40.6605,-73.92398
40.67801,-73.90613
40.67756,-73.90811
40.75896,-73.94325
40.70011,-73.92994
40.6803,-73.94927
40.68307,-73.89141
40.74789,-73.98701
40.67606,-73.87935
40.69576,-73.96181
40.67863,-73.88347
40.8091,-73.95326
40.801,-73.94598
40.8261,-73.95131
40.69968,-73.91319
40.66228,-73.76676
40.71118,-73.95192
40.81124,-73.94128
40.80712,-73.93898
40.68625,-73.92504
40.81943,-73.92911
40.685,-73.96044
40.80327,-73.9351
40.67056,-73.93422
40.69083,-73.90876
40.73445,-73.8554
40.721359,-73.993668
40.69121,-73.96804
40.69132,-73.97306
40.67582,-73.9518
40.72489,-73.9781
40.79934,-73.94236
40.8019,-73.93762
40.80617,-73.94757
40.80747,-73.94076
40.8238,-73.94444
40.67478,-73.95165
40.81486,-73.94696
40.75683,-73.99317
40.75632,-73.98113
40.83582,-73.91451
40.75093,-73.9353
40.67291,-73.81341
40.72576,-73.9761
40.68352,-73.95952
