listing_id,comments_processed,longitude,latitude,is_unsafe
9751043,"We enjoyed our stay.  We felt well cared for and have no concerns or complaints.    Bobby was an attentive host and the space is comfortable and conveniently located near a grocery store, drug store, and subway stop.  Thank you.",-73.95181,40.69385,0
9806373,"We (family with 3 children) were looking for an inexpensive alternative to the overpriced hotels in NYC. We found this large apartment in Brooklyn. The apartment is 5 minutes away from the metro, from which 2 lines go to Manhattan. The area isn't exactly pretty but at least we didn't feel unsafe (huge hospital next door). There is a small grocery store near the metro station.  The apartment is fully equipped including air conditioning (essential in summer!!). Bed linen, lots of towels etc. - nothing was missing! Grace left us a huge pizza when we arrived, and she was always available via email.  From JFK to the apartment by taxi approx. 40 minutes (depending on traffic conditions), with public transport. Transport takes a good hour (recommendation: pre-order a taxi via relevant internet services, the journey to the airport by public transport is quite expensive and inconvenient as a family - you have to change trains 3 times). We liked it! Thank you Grace!",-73.94621,40.65739,0
9752005,"I had a lovely time at Pedro's place. He was very welcoming on arrival and  warm throughout my stay, always very accommodating and eager to give good insider New York tips. Also extremely flexible with arrival and departure times so guests don't have to stress about that. The flat is in a good location, near transport links and with lots you can do by foot around this lovely area. 5th floor by stairs. The room is good size with a nice bed and linen, very warm. Bathroom is good and clean with powerful shower. While I was there the wifi wasn't working reliably but I think they are working on it. I always tend to look for AirBnbs where the host seems to have had a lot of experience with it and Pedro definitely fulfils this criteria. Would definitely recommend.",-74.0042,40.73833,0
9752005,"Have to say... really a perfect place to stay if you want to be well located in NYC.  The immediate area seems safe (Walking there from subway at 2:30 am seemed fine). Everything one needs is close by, along with a nice park across the street, great coffee at home or espresso around the corner, best croissant in recent memory two doors beyond that.  3 blocks from subway transport to anywhere in the city. SUPER convenient. Pedro very open and helpful. Room and bathroom and kitchen are very clean. Nice old building. 5 floor walk up is not too taxing for folks in reasonable shape... or even sketchy shape like me.  I will certainly look them up again if I return...first place I would seek to reserve.",-74.0042,40.73833,0
9895587,"Nia was very gracious and willing to go the extra mile. She was very helpful and made what could have been a very stressful trip - less stressful. The location was great! It's located one block from multiple subway entrances and close to everything. I went to the Village, Manhattan, Flushing, Times Square and everywhere in between!  Thanks Nia!",-73.94493,40.74629,0
9895587,"Nicely accessible. Was a bit afraid of the noise. But the room I was in was at the other side from the train tracks, and I never woke up (nor had trouble falling asleep) because of it.",-73.94493,40.74629,0
9899132,"Jim was present as promised to provide access to the apartment. He also cordially drove us and our baggage to our next stop at a nearby apartment building when we checked out, and actually carried our luggage to and from his car! We saw this as going the extra mile.  While we were hardly first time visitors to NYC and did not require ""tourist"" information, no doubt Jim would be happy and very competent if requested. The unit was as advertised, clean and comfortable.  We appreciated that it included coffee and cream. The kitchen is well equipped. The location, while not scenic (Queens is not typically scenic) was very convenient for our purpose, and close to the 7 train which is one stop from Grand Central Station, which then provides access to the entire subway system.  The apartment was also a half block from Vernon Avenue, which features a variety of restaurants and other commercial establishments. And, there was a grocery store and drug store nearby. The climate control worked well.  The bath was large and modern with ready hot water.  For someone needing lodging in Long Island City this apartment should be high on the list.  ",-73.95295,40.74514,0
9899132,"We spent 10 days in this accommodation with 2 adults + 1 child aged 11.  The apartment is a 5-minute walk from the Vernon Bvd metro station (line 7) which takes us directly to Manhattan (Grand Central 3 minutes and Times Square 10 minutes). It's really very practical.  We take Vernon Bvd to reach the metro station and the apartment. This street has restaurants, bars and food shops which allow you to do your shopping when returning in the evening after a long day of walking. The apartment is located on a small one-way street perpendicular to Vernon Bvd. The apartment is on the ground floor of a small typical NYC building (3 levels) and the place is really quiet. Virtually no road traffic. It is well equipped for cooking and doing laundry. The apartment has wifi and air conditioning, which is essential in NYC in August.  We communicated very easily with Jim (email or text), he adapted to our arrival being delayed by one day (following a flight problem) and he was very accommodating on the day of departure (storing the suitcases while we enjoyed our last day and reserving the car with driver to take us back to the airport). In short, we don't regret our choice and we would probably book the same apartment if we returned to NYC.",-73.95295,40.74514,0
9824042,"Greg and his apartment are a one in a million find in NYC! The apartment is located on the same road as the Empire State Building, and a 5/10 minute walk to other local attractions like Broadway, Time Square and Hells Kitchen! There is also a Subway station a stones throw away where you can easily get down to the Brooklyn Bridge or up to Central Park/The Met/The Guggenheim very quickly to make the most of your trip! Greg was so hospitable letting us check in early and check out late without any stress and basically allowed us to have the entire apartment to ourselves! The view is spectacular and I wouldn't think of staying anywhere else other than here for our next trip to NYC.",-73.97742,40.74423,0
9899132,"Lovely place - one stop away from Grand Central, really comfy apartment with everything you could need - it even has a washer/dryer!  The place was absolutely spotless when I arrived. Jim is a fantastic host, and I'm so glad I chose his place to stay while in New York.  Area is very safe - even at nearly 10pm I didn't feel unsafe walking down from the subway stop. There're plenty of places to eat and bars nearby, plus enough grocery stores/supermarkets nearby that you won't starve even if you don't like eating out.",-73.95295,40.74514,0
9826628,The room and the location was fine and communication went smooth. There were no unpleasant surprises. The host was nice and welcoming. I recommend Liubov's place.,-73.94239,40.69079,0
9899132,"Jim was a gracious and friendly host. He met us on our arrival (actually, he came around the block to find us because the taxi had left us at the wrong address!), helped us with our luggage, and gave us a short tour of his fantastic neighborhood (grocery and drug stores, his favorite restaurants, the riverfront). And he was super attentive to our questions and requests all week.  The apartment was perfect for my sister and me. The beds were comfortable (including the pullout sofa), the water pressure in the shower was great, and the kitchen was well stocked. We were thrilled with the neighborhood, which is lively and felt safe. The block is quiet at night. I wish we could have explored more, but we did visit MoMA PS1, a contemporary art museum a short walk from the apartment. All in all, it was a wonderful stay, and we'd love to return!",-73.95295,40.74514,0
9826628,"I love this room, small and cozy also i love the yard. Me and my friend got scammed, then we found this room, the “check-in anytime” really helped us! We booked this room, and the host responded so quick that we can went straight to check-in within half an hour. There’s also a lot of bars nearby, pizza places etc within walking distance. Definitely will be staying here again if i’m back in NY!",-73.94239,40.69079,0
9902932,"Very low maintenance of the apartment. No funny smells, but the building itself is poorly maintained.  The wiring and power outlets arround the apartment were a bit scary. Bathroom, kitchen and home appliances need an urgent improvement. Brilliant location.",-74.00449,40.7327,0
