latitude,longitude,crime_count
40.552578,-74.169107,2
40.552664,-74.215312,1
40.55267766,-74.15704222,1
40.552678,-74.136921,1
40.552713,-74.179172,3
40.55271697,-74.16805375,2
40.55271697923,-74.16805375579,2
40.552838,-74.167033,1
40.552932,-74.211208,1
40.552947,-74.137893,3
40.552953,-74.16618671,1
40.55308063,-74.16523702,1
40.55309,-74.213705,1
40.55312,-74.200245,1
40.55324555,-74.2177725,2
40.55325,-74.191891,9
40.55331129,-74.15122127,1
40.553352,-74.193983,3
40.55339632,-74.15537779,1
40.55343315181,-74.1682066961,1
40.55348896365,-74.13177872397,1
40.553523,-74.139891,1
40.55356237,-74.15022864,1
40.553647,-74.117202,1
40.553663,-74.138131,1
40.553703,-74.171679,1
40.553818,-74.196129,1
40.553824,-74.144133,8
40.553874,-74.144044,1
40.553941,-74.211606,1
40.553967,-74.139138,1
40.553987,-74.217902,1
40.55408627378,-74.19275068069,1
40.554137,-74.212278,1
40.554138,-74.166925,1
40.554148,-74.215182,1
40.55426201,-74.21291411,1
40.554266,-74.135543,1
40.554268,-74.210596,1
40.5543592,-74.15168787,1
40.55437208,-74.11724574,1
40.554572,-74.133161,1
40.5546,-74.194819,1
40.55471,-74.169573,1
40.554823,-74.174406,1
40.55485175,-74.16852334,2
40.554872,-74.141124,1
40.55492196,-74.19363115,2
40.554935,-74.147236,1
40.555049,-74.195373,1
40.555137,-74.18441,1
40.5552055,-74.21330217,1
40.555287,-74.203088,1
40.555291,-74.11213,1
40.555322,-74.156267,1
40.555382,-74.142261,1
40.555383,-74.142699,1
40.555383,-74.141602,1
40.555431,-74.169739,1
40.55549259,-74.11662513,1
40.55553,-74.134381,1
40.555586,-74.118051,1
40.555628,-74.213937,1
40.55566626,-74.21350157,1
40.555778,-74.155435,3
40.555902,-74.140919,1
40.55590316881,-74.1397833472,1
40.55593,-74.171478,1
40.555976,-74.198227,1
40.55598,-74.15982,1
40.55602686023,-74.11757972328,1
40.55606108,-74.20314939,3
40.55606849,-74.12239123,1
40.556127,-74.152476,1
40.556221,-74.210788,1
40.556298,-74.124261,1
40.556348,-74.1998,1
40.556399,-74.177183,1
40.556463,-74.139381,1
40.556487,-74.178157,2
40.55653435,-74.12811764,8
40.55653435748,-74.12811764331,1
40.556545,-74.135675,1
40.556568,-73.929952,1
40.55658585,-74.17625056,1
40.5567144,-74.17111193,1
40.556767,-74.179161,1
