date,year,hour,lat,lon,precinct,borough,offense_desc,law_category,premise_type
2023-04-14,2023,20.0,40.82227104113,-73.91169778028,42,BRONX,SEX CRIMES,MISDEMEANOR,STREET
2023-09-30,2023,0.0,40.67449568653,-73.9305713256,77,BROOKLYN,SEX CRIMES,MISDEMEANOR,PUBLIC BUILDING
2023-06-09,2023,0.0,40.763036,-73.983016,18,MANHATTAN,HARRASSMENT 2,VIOLATION,BAR/NIGHT CLUB
2023-12-18,2023,10.0,40.734681,-73.810626,107,QUEENS,GRAND LARCENY,FELONY,STREET
2022-02-22,2022,12.0,40.869254,-73.843909,49,BRONX,DANGEROUS WEAPONS,FELONY,STREET
2023-11-27,2023,15.0,40.706774,-73.79113,103,QUEENS,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,CHAIN STORE
2023-10-27,2023,7.0,40.5755750311,-73.99431602046,60,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-07-25,2023,0.0,40.756958,-73.733653,111,QUEENS,GRAND LARCENY,FELONY,STORE UNCLASSIFIED
2022-09-01,2022,16.0,40.70723981617,-73.79272672559,103,QUEENS,SEX CRIMES,MISDEMEANOR,PARK/PLAYGROUND
2022-12-28,2022,1.0,40.76231580042,-73.82744800186,109,QUEENS,RAPE,FELONY,STREET
2023-11-20,2023,0.0,40.69,-73.943784,79,BROOKLYN,DANGEROUS WEAPONS,FELONY,STREET
2023-08-31,2023,17.0,40.71514355859,-73.74935561893,105,QUEENS,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-11-24,2023,0.0,40.76780255409,-73.95599981163,19,MANHATTAN,GRAND LARCENY,FELONY,ATM
2023-09-10,2023,21.0,40.740708,-73.978847,13,MANHATTAN,FELONY ASSAULT,FELONY,PARK/PLAYGROUND
2023-08-18,2023,14.0,40.757691,-73.834115,109,QUEENS,GRAND LARCENY,FELONY,CHAIN STORE
2023-09-11,2023,8.0,40.68039035689,-73.94955696439,79,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-12-26,2023,1.0,40.73756,-73.862738,110,QUEENS,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-11-10,2023,0.0,40.760721,-73.987245,18,MANHATTAN,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-04-18,2023,20.0,40.840009,-73.873432,48,BRONX,HARRASSMENT 2,VIOLATION,STREET
2023-09-04,2023,23.0,40.705831,-73.869878,104,QUEENS,GRAND LARCENY,FELONY,STREET
2023-04-11,2023,14.0,40.758273,-73.985293,18,MANHATTAN,GRAND LARCENY,FELONY,STREET
