latitude,longitude,crime_count
40.666427,-73.784558,31
40.66646931,-73.88250675,23
40.66647,-73.988558,21
40.666547,-73.782802,28
40.666571,-73.931336,37
40.66688741,-73.98158017,29
40.666982,-73.99631,19
40.66701658,-73.9312914,16
40.667072,-73.988055,17
40.667091,-73.932674,19
40.667193,-73.981326,16
40.66742,-73.931252,48
40.667421,-73.798027,43
40.66754,-73.786865,54
40.66770714,-73.90635332,37
40.667761,-73.895318,17
40.667776,-73.78085,24
40.667785,-73.910253,18
40.668042,-73.942322,16
40.66807228,-73.95066932,42
40.668101,-73.965923,27
40.6682,-73.9031,20
40.66827221,-73.90262523,50
40.668287,-73.91134,16
40.668312,-73.931166,46
40.668319,-73.781371,18
40.668341,-73.906514,51
40.66837249,-73.92263141,20
40.668403,-73.996494,24
40.668438,-73.92412,17
40.668443,-73.996515,44
40.6685062,-73.92560517,41
40.668519,-73.950626,22
40.668602,-73.985124,32
40.668602,-73.895026,30
40.668611,-73.868785,22
40.668628,-73.909016,21
40.668639,-73.917783,25
40.66864793,-73.92834824,27
40.668723,-73.929735,73
40.668739,-73.781802,19
40.66879784,-73.93112014,220
40.66879784312,-73.93112014525,31
40.668825,-73.922588,20
40.668875,-73.932504,60
40.668876,-73.986552,26
40.66895043,-73.93388845,33
40.66897548,-73.90667237,24
40.669026,-73.935272,20
40.66905,-73.910579,26
40.669056,-73.914969,16
40.66916,-73.896649,36
40.669175,-73.938042,25
40.669258,-73.960283,17
40.669268,-73.931076,19
40.669299,-73.895709,16
40.669326,-73.940812,23
40.669328,-73.90872,21
40.669334,-73.913079,27
40.669339,-73.95845,21
40.66936911,-73.89522298,18
40.6694023,-73.94219706,37
40.669415,-73.950543,16
40.669476,-73.912132,34
40.66948,-73.94358,24
40.669608,-73.906836,33
40.669616,-73.911203,28
40.66968412,-73.91074121,19
40.669696,-73.922506,23
40.66972531,-73.86096222,16
40.669765,-73.987509,41
40.669789,-73.949116,18
40.669791,-73.860504,23
40.66986455,-73.95050217,40
40.669867,-73.88112,27
40.66995989,-73.90888435,17
40.670029,-73.908427,34
40.670047,-73.921172,46
40.67016,-73.930992,34
40.670198,-73.92394,37
40.670218,-73.958132,42
40.670313,-73.906515,32
40.670355,-73.926797,22
40.67035772,-73.98871321,74
40.670507,-73.929566,21
40.67058184,-73.93095247,19
40.67065507,-73.91339093,28
40.670658,-73.932338,23
40.67065802,-73.95797447,166
40.67065802223,-73.95797447717,33
40.67081,-73.935107,27
40.671008,-73.959655,18
40.671028,-73.930909,20
40.671097,-73.994639,41
40.671104,-73.913562,26
40.67110661,-73.88143309,90
40.67113000169,-73.9135020552,115
40.67118,-73.93368,17
40.671245,-73.926713,20
40.671261,-73.943413,19
40.67135982034,-73.88181102317,210
40.671404,-73.881509,30
40.671597,-73.856604,32
40.67164498,-73.96257373,28
40.671645,-73.844073,17
40.671683,-73.918326,17
40.671919,-73.93083,33
40.67195,-73.891047,17
40.671975,-73.957498,41
40.67204219,-73.89486189,16
40.672084,-73.950293,20
40.672136,-73.926629,25
40.67217585,-73.89395683,27
40.672373,-73.964967,22
40.672382,-73.892576,17
40.672515,-73.89167,18
40.672577,-73.873261,26
40.672608,-73.775084,26
40.672688,-74.011724,58
40.67271591,-73.89031495,37
40.672777,-73.866472,16
